Date,PR,PSI,VPI,LAR,Actual VPI,VS,CS
30-11-2024,0.082947965,0.967299564,0.149727974,0.375852306,0.006249942,104105543.4,1255070491
29-11-2024,0.082616988,0.965805084,0.150046032,0.648921601,0.00628831,103690143.2,1255070491
28-11-2024,0.082673282,0.902667245,0.153502982,0.685832864,0.006428807,103760796.7,1255070491
27-11-2024,0.083055684,0.965474173,0.158348258,0.672304907,0.006601197,104240738,1255070491
26-11-2024,0.083129633,0.89368683,0.163638349,0.951898902,0.006815661,104333549.2,1255070491
25-11-2024,0.083243468,0.9025122,0.171585441,0.680249068,0.00713689,104476420.7,1255070491
24-11-2024,0.083350121,0.868550467,0.176380835,0.888588128,0.007326961,104610277.8,1255070491
23-11-2024,0.083255403,0.842598118,0.184765268,1.031657649,0.007683988,104491399.5,1255070491
22-11-2024,0.083340793,0.844336415,0.196195508,1.083522431,0.008150987,104598570.3,1255070491
21-11-2024,0.083251245,1.016697235,0.211504891,0.435032564,0.00879647,104486181.4,1255070491
20-11-2024,0.083758708,0.952751503,0.217968006,0.398175977,0.009010347,105123083.3,1255070491
19-11-2024,0.083785521,0.912055352,0.222573882,0.523778621,0.0091978,105156734.4,1255070491
18-11-2024,0.083821626,0.994026937,0.231505187,0.524573405,0.009562763,105202049,1255070491
17-11-2024,0.083854347,0.937505234,0.24017273,0.51816171,0.009916921,105243116.7,1255070491
16-11-2024,0.083873607,1.035946361,0.249074104,0.407341271,0.010282104,105267288.5,1255070491
15-11-2024,0.084383555,1.087841418,0.256275254,0.525397201,0.010515444,105907309.6,1255070491
14-11-2024,0.084469791,1.02051785,0.265408804,0.720192012,0.010879092,106015541.5,1255070491
13-11-2024,0.084434412,0.983119256,0.28142093,0.821964288,0.011540262,105971139.5,1255070491
12-11-2024,0.084426529,0.893368857,0.304630011,0.743697767,0.012493166,105961244.9,1255070491
11-11-2024,0.08440101,0.939849926,0.328552839,0.744718801,0.013478338,105929217.4,1255070491
10-11-2024,0.084612267,0.921379835,0.355056965,0.419307711,0.014529259,106194359.2,1255070491
09-11-2024,0.084705678,0.943212961,0.369459273,0.333542891,0.015101942,106311596.8,1255070491
08-11-2024,0.084702047,0.925435024,0.378283314,0.410376776,0.015463295,106307039.9,1255070491
07-11-2024,0.084191899,0.926056761,0.390815228,0.447752714,0.01607237,105666767.9,1255070491
06-11-2024,0.084160569,1.05992813,0.407925718,0.262692611,0.016782288,105627446.7,1255070491
05-11-2024,0.084135209,1.147732731,0.417597902,0.288640307,0.017185386,105595617.9,1255070491
04-11-2024,0.083142237,1.100835098,0.42424144,0.289055456,0.017667298,104349368,1255070491
03-11-2024,0.083288302,1.102695524,0.434318032,0.269665771,0.018055212,104532690.5,1255070491
02-11-2024,0.083131684,1.061862751,0.438783378,0.27625731,0.018275208,104336123.9,1255070491
01-11-2024,0.083258485,1.009462665,0.44590364,0.2475298,0.018543481,104495267.2,1255070491
31-10-2024,0.083146981,0.951227358,0.444759316,0.273790037,0.018520697,104355322.8,1255070491
30-10-2024,0.082880406,0.961740042,0.449295665,0.288093968,0.018769777,104020752,1255070491
29-10-2024,0.082845723,1.012357035,0.460336301,0.257818015,0.019239061,103977222.3,1255070491
28-10-2024,0.083031037,1.036195904,0.474669179,0.177384891,0.019793807,104209804.2,1255070491
27-10-2024,0.08301717,1.076737177,0.472557658,0.265821714,0.019709047,104192399.7,1255070491
26-10-2024,0.082963503,1.093188865,0.483081034,0.305334311,0.020160981,104125044,1255070491
25-10-2024,0.0828764,1.008902264,0.499786695,0.228911139,0.020880099,104015724.2,1255070491
24-10-2024,0.082918896,0.997576884,0.508111075,0.25582363,0.021216996,104069060.1,1255070491
23-10-2024,0.082894767,1.013476703,0.520469648,0.148378083,0.026223968,104038775.9,1255070491
22-10-2024,0.082146243,1.004689609,0.518773782,0.155675401,0.026376698,103099325.5,1255070491
21-10-2024,0.079356189,0.961180102,0.504152131,0.164184391,0.026534501,99597610.78,1255070491
20-10-2024,0.079605453,1.01551523,0.506833556,0.093136399,0.026592101,99910455.15,1255070491
19-10-2024,0.07968813,1.001817094,0.502142936,0.136631191,0.026318664,100014220.1,1255070491
18-10-2024,0.079712738,1.028775996,0.504740088,0.145684759,0.026446621,100045105.5,1255070491
17-10-2024,0.079774955,0.97369045,0.508901496,0.183539365,0.026643868,100123192.5,1255070491
16-10-2024,0.07984869,0.966545534,0.518503547,0.194073331,0.027121521,100215734.4,1255070491
15-10-2024,0.079904689,0.932746234,0.532049127,0.174685941,0.02781055,100286017.3,1255070491
14-10-2024,0.080008842,0.964010493,0.544059711,0.135110996,0.028401331,100416737,1255070491
13-10-2024,0.079978958,0.954885871,0.548229074,0.135767742,0.028629676,100379230.6,1255070491
12-10-2024,0.080073886,0.95787695,0.552868006,0.185043589,0.028837703,100498371.7,1255070491
11-10-2024,0.079423123,1.037168516,0.555960966,0.149641085,0.029236639,99681618.43,1255070491
10-10-2024,0.079889769,1.048917912,0.561894214,0.172753075,0.029376057,100267291.4,1255070491
09-10-2024,0.078974284,0.985943522,0.564270772,0.155809859,0.029842278,99118293.62,1255070491
08-10-2024,0.076236432,0.971541756,0.549133028,0.174222257,0.03008466,95682096.58,1255070491
07-10-2024,0.076306967,0.969240242,0.557818406,0.117627296,0.030532247,95770622.34,1255070491
06-10-2024,0.076264171,1.041405523,0.551680068,0.123673392,0.030213209,95716910.94,1255070491
05-10-2024,0.076281171,1.057862133,0.554668978,0.163043736,0.030370129,95738246.34,1255070491
04-10-2024,0.076501513,1.148801642,0.562011997,0.200530329,0.030683555,96014791.16,1255070491
03-10-2024,0.0764818,1.120822703,0.577863327,0.193918595,0.031557104,95990050.24,1255070491
02-10-2024,0.07650794,1.075013485,0.591207294,0.254397057,0.032274787,96022857.39,1255070491
01-10-2024,0.076552278,1.028520201,0.617344057,0.199958923,0.033682108,96078504.58,1255070491
30-09-2024,0.076557858,0.943098909,0.639209146,0.152086608,0.034872519,96085507.81,1255070491
29-09-2024,0.076827025,0.936730547,0.644508084,0.106521814,0.035038416,96423332.19,1255070491
28-09-2024,0.076867067,0.917473258,0.638576652,0.199464953,0.034697872,96473587.16,1255070491
27-09-2024,0.081244711,0.98052672,0.643276948,0.156232935,0.034948796,96485931.78,1187596466
26-09-2024,0.081317037,1.005025804,0.640251158,0.13446875,0.034753469,96571826.14,1187596466
25-09-2024,0.081301294,0.961682869,0.640973836,0.158236606,0.034799434,96553128.98,1187596466
24-09-2024,0.081317119,0.959323567,0.644888312,0.145806073,0.035005143,96571923.69,1187596466
23-09-2024,0.081340955,0.940434876,0.646183602,0.127516175,0.035065174,96600230.7,1187596466
22-09-2024,0.081247498,0.88389198,0.636533127,0.134651017,0.034581223,96489241.06,1187596466
21-09-2024,0.081244802,0.919020495,0.637413403,0.162843292,0.034630196,96486039.19,1187596466
